,drug_classes
Upper respiratory combinations,245
Topical acne agents,125
Topical steroids,94
Antihistamines,82
Unknown,82
Nonsteroidal anti-inflammatory drugs,72
Laxatives,59
Miscellaneous topical agents,56
Topical rubefacient,56
Topical anesthetics,54
Opioids (narcotic analgesics),53
Miscellaneous anxiolytics,51
sedatives and hypnotics,51
Antiviral combinations,50
Insulin,50
CNS stimulants,50
Analgesic combinations,49
Antirheumatics,44
Atypical antipsychotics,42
Antidiabetic combinations,41
Urinary antispasmodics,41
Miscellaneous analgesics,38
Antacids,35
Calcium channel blocking agents,35
Antimigraine agents,32
Glucocorticoids,31
Minerals and electrolytes,30
Interleukin inhibitors,29
Salicylates,27
Benzodiazepines,26
Tetracyclines,26
Topical antibiotics,26
Topical antipsoriatics,25
TNF alfa inhibitors,24
Topical keratolytics,24
Antidiarrheals,23
Contraceptives,23
Narcotic analgesic combinations,22
Topical non-steroidal anti-inflammatories,21
Nasal steroids,21
Anticholinergic antiparkinson agents,21
Vitamins,21
Proton pump inhibitors,21
Anticholinergic antiemetics,21
Platelet aggregation inhibitors,20
Expectorants,19
Antianginal agents,19
Bronchodilator combinations,19
Vasodilators,18
Angiotensin Converting Enzyme Inhibitors,18
Thyroid drugs,18
Incretin mimetics,18
H2 antagonists,18
Antiadrenergic agents,17
Statins,17
Anorexiants,16
Tricyclic antidepressants,16
Protease inhibitors,16
Quinolones,15
Group IV antiarrhythmics,15
Angiotensin II inhibitors with thiazides,14
Viscosupplementation agents,14
Angiotensin receptor blockers,14
Bisphosphonates,14
Beta blockers with thiazides,13
Selective serotonin reuptake inhibitors,13
Sex hormone combinations,13
Macrolides,13
Impotence agents,13
Nutraceutical products,12
Non-cardioselective beta blockers,12
Thiazide diuretics,12
Cardioselective beta blockers,12
Miscellaneous antidepressants,12
Miscellaneous antibiotics,11
Miscellaneous antimalarials,11
Anticholinergic bronchodilators,11
NNRTIs,11
Nucleoside reverse transcriptase inhibitors (NRTIs),11
5-aminosalicylates,11
Sulfonylureas,11
Miscellaneous antihypertensive combinations,11
Nasal antihistamines and decongestants,11
Viral vaccines,11
Benzodiazepine anticonvulsants,11
Cholinesterase inhibitors,11
Aminoglycosides,10
ACE inhibitors with thiazides,10
Third generation cephalosporins,10
Miscellaneous antivirals,10
Serotonin-norepinephrine reuptake inhibitors,10
Selective immunosuppressants,9
Natural penicillins,9
centrally acting,9
Miscellaneous uncategorized agents,9
Pyrrolidine anticonvulsants,9
Phenothiazine antiemetics,9
Second generation cephalosporins,9
SGLT-2 inhibitors,8
Miscellaneous antineoplastics,8
Beta-lactamase inhibitors,8
Antimetabolites,8
Urinary anti-infectives,8
Carbonic anhydrase inhibitor anticonvulsants,8
peripherally acting,8
Allergenics,8
Miscellaneous antihyperlipidemic agents,8
Alkylating agents,8
Dipeptidyl peptidase 4 inhibitors,8
Monoamine oxidase inhibitors,8
Potassium-sparing diuretics,7
Dibenzazepine anticonvulsants,7
Other immunosuppressants,7
Antihyperuricemic agents,7
Estrogens,7
Miscellaneous central nervous system agents,7
Integrase strand transfer inhibitor,7
Antihyperlipidemic combinations,7
Potassium sparing diuretics with thiazides,7
Anorectal preparations,7
Angiotensin II inhibitors with calcium channel blockers,6
Vitamin and mineral combinations,6
Psychotherapeutic combinations,6
First generation cephalosporins,6
ACE inhibitors with calcium channel blocking agents,6
Sulfonamides,6
Phenothiazine antipsychotics,6
Glycopeptide antibiotics,6
Antipsoriatics,6
Adrenergic bronchodilators,6
Topical emollients,6
Gamma-aminobutyric acid analogs,6
Miscellaneous antiemetics,6
Group II antiarrhythmics,6
Fatty acid derivative anticonvulsants,5
